FECHA,INFECTADOS,MUERTOS
08/02/2020,0,0
09/02/2020,0,0
10/02/2020,0,0
11/02/2020,0,0
12/02/2020,0,0
13/02/2020,0,0
14/02/2020,0,0
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,1,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,1,0
25/02/2020,0,0
26/02/2020,1,0
27/02/2020,5,0
28/02/2020,3,0
29/02/2020,2,0
01/03/2020,1,0
02/03/2020,5,0
03/03/2020,10,0
04/03/2020,10,0
05/03/2020,10,0
06/03/2020,6,0
07/03/2020,7,0
08/03/2020,8,0
09/03/2020,5,0
10/03/2020,17,0
11/03/2020,39,0
12/03/2020,41,0
13/03/2020,66,0
14/03/2020,52,0
15/03/2020,37,0
16/03/2020,76,0
17/03/2020,104,0
18/03/2020,116,3
19/03/2020,151,0
20/03/2020,132,1
21/03/2020,85,0
22/03/2020,71,2
23/03/2020,167,1
24/03/2020,221,3
25/03/2020,185,2
26/03/2020,226,8
27/03/2020,264,9
28/03/2020,191,15
29/03/2020,167,9
30/03/2020,345,14
31/03/2020,311,26
01/04/2020,381,22
02/04/2020,347,27
03/04/2020,392,34
04/04/2020,250,39
05/04/2020,258,33
06/04/2020,629,58
07/04/2020,515,62
08/04/2020,581,50
09/04/2020,483,62
10/04/2020,571,78
11/04/2020,465,82
12/04/2020,475,87
13/04/2020,952,101
14/04/2020,934,113
15/04/2020,984,117
16/04/2020,997,107
17/04/2020,1148,142
18/04/2020,813,137
19/04/2020,794,182
20/04/2020,1515,211
21/04/2020,1470,217
22/04/2020,1421,215
23/04/2020,1506,231
24/04/2020,1732,263
25/04/2020,1160,288
26/04/2020,1114,308
27/04/2020,1936,281
28/04/2020,1954,321
29/04/2020,1936,383
30/04/2020,1885,351
01/05/2020,1551,407
02/05/2020,1494,357
03/05/2020,1372,367
04/05/2020,2633,459
05/05/2020,2229,450
06/05/2020,2388,413
07/05/2020,2530,407
08/05/2020,2530,439
09/05/2020,1654,417
10/05/2020,1549,454
11/05/2020,3114,461
12/05/2020,3067,485
13/05/2020,3230,494
14/05/2020,3214,545
15/05/2020,3683,555
16/05/2020,2260,534
17/05/2020,1737,584
18/05/2020,4173,588
19/05/2020,3705,580
20/05/2020,4047,568
21/05/2020,4103,571
22/05/2020,4131,554
23/05/2020,2412,538
24/05/2020,2005,603
25/05/2020,4789,626
26/05/2020,4419,613
27/05/2020,4566,594
28/05/2020,4300,625
29/05/2020,4461,574
30/05/2020,2821,610
31/05/2020,2192,630
01/06/2020,5444,689
02/06/2020,4834,650
03/06/2020,5065,674
04/06/2020,5011,655
05/06/2020,5149,594
06/06/2020,3146,666
07/06/2020,2464,686
08/06/2020,6283,737
09/06/2020,5868,690
10/06/2020,5822,706
11/06/2020,5462,672
12/06/2020,5740,730
13/06/2020,3226,694
14/06/2020,2695,715
15/06/2020,6682,713
